Name,Price,Color,Storage,Stars,Rating Score,Display,RAM,Battery,Back Camera,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC,img_URL,brand,Popularity,RepairCost,Resale_value,Parts_availability
Club Mobile A9 Victory,"3,299","Black,White",STANDARD,5,2 Ratings ,2.4 Inches,32 MB,3500 mAh,Smart Camera,6/12/2023,"Dual Sim, Dual Standby",no Data,no Data,Proprietary OS,2.4 Inches,QQVGA,no Data,no Data,32 MB,Yes,no Data,no Data,3500 mAH,no Data,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/club-mobile-a9-victory-pakistan-priceoye-4eqgs-500x500.webp,Club,70,1059.551884,2771.16,70
VGO TEL i261,"4,350","Black Green,Black Blue,Black Red,White Orange",STANDARD,5, 1 Ratings ,2.8 inches,Standard,1750 mAh,VGA Camera,1/27/2022,Dual SIM,no Data,no Data,no Data,2.8 inches,no Data,QVGA,no Data,Standard,Micro SD card (support upto 16GB),no Data,no Data,1750 mAh,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/vgo-tel-i261-pakistan-priceoye-4hc86-500x500.webp,VGO,70,1394.467788,3610.5,70
Dcode X,"46,199","Space Grey,Imperial Purple",128GB - 8GB RAM,5,14 Ratings ,6.67 Inches,8 GB,4000 mAh,64 MP + 8 MP + 5 MP + 2 MP + 2 MP,11/4/2021,"Dual Sim, Dual Standby (Nano-SIM)",164.9 x  76.7 x 8.65 mm,205 g,Android 11,6.67 Inches,1080 x 2400,LTPS TFT LCD Capacitive Touchscreen,no Data,128 GB,microSD Card,MediaTek Helio G95,Mali G76-3EE MC4,"4000 mAh, Li-Ion (non-removeable)",32 MP,No,1080p@30fps,Yes,1080@60fps,Bluetooth 5.0,Yes,Yes,No,FM Radio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",no Data,https://images.priceoye.pk/dcode-x-pakistan-priceoye-tovg6-500x500.webp,Dcode,70,13694.47638,37883.18,70
Club Mobile Maula Jutt,"3,699","Green,Golden,Black,Yellow,White,Gray",STANDARD,5,3 Ratings ,2.4 Inches,Standard,4000 mAh,Smart Camera,6/15/2023,"Dual Sim, Dual Standby",no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,4000 mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/club-mobile-maula-jutt-pakistan-priceoye-zunvo-500x500.webp,Club,70,1187.16773,3107.16,70
itel A23 Pro,"13,299","Lake Blue,Sapphire Blue,Blue,Green",8GB - 1GB RAM,5,8 Ratings ,5.0 inches,1 GB,2400 mAh,2 MP,12/20/2001,"Dual SIM (Nano-SIM, dual stand-by)",no Data,no Data,Android 10 (Go),5.0 inches,854 x 480 pixels,"FWVGA Display Touchscreen, Multitouch",No,8 GB,Yes,Unisoc SC9832e,ARM Mali-T820,2400mAh Li-ion Removable,0.3 MP,No,720p@30fps,Yes,720p@30fps,Yes,Yes,No,No,FM radio,Yes,No,https://images.priceoye.pk/itel-a23-pro-pakistan-priceoye-js8r7-500x500.webp,itel,70,4194.563423,8245.38,40
Itel Magic 3,"5,499","Gradation Blue,Black",STANDARD,5,14 Ratings ,2.4 inches,Standard,1900 mAh,1.3 MP,1/20/2022,Dual Sim,no Data,no Data,no Data,2.4 inches,no Data,QVGA,no Data,Standard,No,no Data,no Data,1900 mAh Battery,No,No,No,Yes,no Data,Yes,No,No,No,No,No,No,https://images.priceoye.pk/itel-magic-3-pakistan-priceoye-8hrfi-500x500.webp,Itel,70,1759.154423,4564.17,70
itel Value 110s,"3,399","Sun Red,City Blue,Elegant Black,Deep Blue,Dark Green",STANDARD,5,164 Ratings ,4.8 cm,4 MB,1000 mAh,VGA,10/20/2010,"Dual Sim, Dual Standby",no Data,no Data,Featured OS,4.8 cm,240 x 320 Pixels,TFT,No,4 MB,Yes,No,No,1000mAh Battery,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/itel-value-110-pakistan-priceoye-n3ymn-500x500.webp,itel,70,1091.473153,2413.29,40
itel Vision 1 Pro,"16,249","Dazzle Black,Crystal Blue,Cosmic Shine","32GB - 2GB RAM,32GB - 3GB RAM",5,25 Ratings ,6.5 inches,2 GB,4000 mAh,13 MP + 2 MP + 2 MP,11/20/2029,"Dual SIM (Nano-SIM, dual stand-by)",no Data,no Data,Android 10 OS,6.5 inches,720 x 1600 pixels,"IPS LCD capacitive touchscreen, 16M colors",No,32 GB,Yes,octa core 1.6 Ghz,IMG8322,"Li-Po 4000 mAh, non-removable",8 MP,No,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No,https://images.priceoye.pk/itel-vision-1-pro-pakistan-priceoye-23kpw-500x500.webp,itel,70,5097.351923,14624.1,40
Tecno Camon 20,"41,499","Glacier Glow,Predawn Black,Serenity Blue,Avocado Art Edition",256GB - 8GB RAM,5,181 Ratings ,6.67 inches,8 GB,5000 mAh,64 MP + 2 MP + AI Cam,5/9/2023,"Dual SIM (Nano-SIM, dual stand-by)",163.4 x 76.7 x 8.2 mm,no Data,"Android 13, HIOS 13",6.67 inches,1080 x 2400 pixels,AMOLED,no Data,256 GB,Unspecified,Mediatek MT6769Z Helio G85,Mali-G52 MC2,"Li-Po 5000 mAh, non-removable",32 MP,Yes,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,no Data,FM radio,Yes,No,https://images.priceoye.pk/tecno-camon-20-pakistan-priceoye-4nwqa-500x500.webp,Tecno,70,12413.81135,34859.16,70
Itel A49,"14,799","Starry Black,Sky Cyan",32GB - 2GB RAM,5,46 Ratings ,6.6 Inches,2 GB,4000 mAh,5MP + QVGA,3/8/2022,"Dual Sim, Dual Standby (Nano-SIM)",165.44x76.17x9.6mm,no Data,Android 11.0 (Go edition),6.6 Inches,1612 x 720,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch",no Data,32 GB,"microSD Card, (supports upto 128GB)",1.4 Ghz Quad Core,no Data,"(Li-ion Non removable), 4000 mAh",5 MP,Yes,Yes,Yes,1080p@30fps,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/itel-a49-pakistan-priceoye-zqbe9-500x500.webp,Itel,70,4654.86323,12283.17,70
Tecno Camon 18P,"45,499","Dusk Gray,Ceramic White,Iris Purple",128GB - 8GB RAM,5,104 Ratings ,6.8 Inches,8 GB,5000 mAh,48 MP + 13 MP + 2 MP,10/14/2021,"Dual Sim, Dual Standby (Nano-SIM)",168.9 x 76.7 x 8.8 mm,no Data,Android 11 OS,6.8 Inches,1080 x 2460 Pixels,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch",no Data,128 GB,No,Mediatek Helio G96 (12 nm),Mali-G57 MC2,"(Li-Po Non removable), 5000 mAh",16 MP,Yes,1080p@30fps,Yes,"4K@30fps, 1080p@30fps",Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/tecno-camon-18p-pakistan-priceoye-c89xi-500x500.webp,Tecno,70,13505.35442,37309.18,70
itel Power 410,"3,199","Blue,Black",STANDARD,5,14 Ratings ,2.4 inches,4 MB,2500 mAh,VGA,10/20/2010,"Dual Sim, Dual Standby",no Data,no Data,Featured OS,2.4 inches,240 x 320 pixels,TFT,No,4 MB,Yes,No,No,2500 mAh Battery,No,No,No,No,Yes,Yes,No,No,no Data,No,No,No,https://images.priceoye.pk/itel-power-410-pakistan-priceoye-780gv-500x500.webp,itel,70,1027.619076,2271.29,40
VGO TEL i252,"3,999","Blue,Green,Red,White Orange,Black Blue,Black Red",STANDARD,5,2 Ratings ,2.4 Inches,Standard,3000 mAh,Smart Camera,2/8/2022,Dual SIM - Dual Standby,no Data,no Data,Proprietary OS,2.4 Inches,no Data,QVGA Display,no Data,Standard,Yes,no Data,no Data,3000 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/vgo-tel-i252-pakistan-priceoye-9kmy1-500x500.webp,VGO,70,1282.758461,3319.17,70
Club Mobile Muzik 4,"3,699","Dark Blue,Green,Gold",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,2500 mAh,Smart Camera,12/28/2022,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,2500 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/club-mobile-muzik-4-pakistan-priceoye-z50pa-500x500.webp,Club,70,1187.16773,3070.17,70
itel It9010 4G,"4,499","Light Green,Deep Blue",STANDARD,5,5 Ratings ,1.77 Inches,48 MB,1000 mAh,Rear Camera,2/16/2023,Dual Sim,no Data,no Data,Proprietary OS,1.77 Inches,no Data,no Data,no Data,128 MB,Yes,no Data,no Data,1000 mAh,no Data,no Data,no Data,no Data,Yes,no Data,no Data,Yes,no Data,Yes,no Data,no Data,https://images.priceoye.pk/itel-it9010-4g-pakistan-priceoye-e1muv-500x500.webp,itel,70,1441.845576,3779.16,70
Tecno Camon 19 Pro,"49,999","Polar Blue,Eco Black",128GB - 8GB RAM,5,11 Ratings ,6.8 Inches,8 GB,5000 mAh,64 MP + 50 MP + 2 MP,5/31/2022,"Dual Sim, Dual Standby (Nano-SIM)",166.8 x 74.6 x 8.6 mm,204 g,Android 12 OS,6.8 Inches,1080 x 2460 Pixels,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch",no Data,128 GB,microSD Card,Mediatek MT6781 Helio G96 (12 nm),Mali-G57 MC2,"Li-Po 5000 mAh, non-removable",32 MP,No,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/tecno-camon-19-pro-pakistan-priceoye-32yf9-500x500.webp,Tecno,70,14711.27308,41499.17,70
Itel It2176,"2,699",Blue,STANDARD,5,5 Ratings ,2 Inches,Standard,1000 mAh,Digital Camera,12/4/2023,Dual Sim,no Data,no Data,Proprietary OS,2 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,1000 mAh,No,No,No,No,Yes,Yes,no Data,No,No,Yes,No,No,https://images.priceoye.pk/itel-it2176-pakistan-priceoye-jo35u-500x500.webp,Itel,70,867.781961,2267.16,70
VGO TEL i101,"2,699","Black,Black Blue,Black Yellow,Black Red",STANDARD,5,36 Ratings ,1.77 Inches,Standard,1000 mAh,Digital Camera,1/1/2022,Dual SIM – Dual Standby,no Data,no Data,Proprietary OS,1.77 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,1000 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/vgo-tel-i101-pakistan-priceoye-mnfzq-500x500.webp,VGO,70,867.781961,2240.17,70
me Mobile M-1110 Lite,"2,425","Yellow,Red,Black",STANDARD,5,8 Ratings ,1.8 inches,Standard,1200 mAh,No,7/19/2022,Dual SIM,no Data,no Data,Proprietary OS,1.8 inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,1200 mAh,No,No,No,No,No,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/me-mobile-m-110-lite-pakistan-priceoye-ac35b-500x500.webp,me,70,780.0688702,2012.75,70
Club Mobile Ali Baba 1,"2,699","Black,Dark Blue,White",STANDARD,5, 1 Ratings ,1.77 Inches,Standard,1000 mAh,Smart Camera,2/27/2023,Dual Sim,no Data,no Data,Proprietary OS,1.77 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,1000 mAh,no Data,no Data,no Data,Yes,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/club-mobile-ali-baba-1-pakistan-priceoye-qal75-500x500.webp,Club,70,867.781961,2267.16,70
E-Tachi 4 Star,"4,199","Black,Blue,White,Golden",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3200 mAh,Smart Camera,3/6/2023,Four Sim,129.5*53.5*14.0mm,no Data,Proprietary OS,2.4 Inches,240*320,no Data,no Data,Standard,Yes,no Data,no Data,3200 mAh,no Data,no Data,no Data,Yes,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/e-tachi-4-star-pakistan-priceoye-nc54d-500x500.webp,E-Tachi,70,1346.427923,3527.16,70
ZTE Blade A53 Pro,"18,799","Pearl Blue,Space Silver,Crystal Black,Midnight Blue,Mint Green",64GB - 4GB RAM,5,10 Ratings ,6.52 Inches,4 GB,5000 mAh,13 MP,9/18/2023,"Dual SIM (Nano-SIM, dual stand-by)",164 x 75.8 x 8.7 mm,190 g,Android 12,6.52 Inches,720 x 1600 Pixels,"IPS LCD, 450 nits (typ)",no Data,64 GB,Yes,MediaTek Helio G35 Octa-core,PowerVR GE8320,5000 mAh,8 MP,no Data,Yes,Yes,1080p@30fps,Yes,Yes,Yes,no Data,no Data,Yes,no Data,https://images.priceoye.pk/zte-blade-a53-pro-pakistan-priceoye-qetl2-500x500.webp,ZTE,70,5869.637076,15791.16,70
Digit Infinity,"14,699","Green,Black,Blue",32GB - 2GB RAM,5,46 Ratings ,6.5 Inches,2 GB,5000 mAh,8 MP,4/14/2023,Dual Sim 4G,no Data,no Data,Android 12,6.5 Inches,no Data,HD+ Waterdrop Display,no Data,32 GB,no Data,Quad-Core,no Data,5000mAh,5 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/digit-infinity-pakistan-priceoye-8ow2l-500x500.webp,Digit,70,4624.257346,12347.16,70
GFive Boss,"3,099","Black Orange,White Orange,Black Blue",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3000 mAh,Digital Camera,9/14/2022,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,no Data,no Data,no Data,no Data,Yes,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/gfive-boss-pakistan-priceoye-zkcik-500x500.webp,GFive,70,995.6747302,2572.17,70
Gfive Pro Max,"3,299","Black,Golden,Gray,Sky Blue,Royal Blue,Navy Blue",STANDARD,5,5 Ratings ,2.8 Inches,Standard,3000 mAh,0.08 MP,8/25/2023,Dual Sim,no Data,no Data,Proprietary OS,2.8 Inches,no Data,no Data,no Data,Standard,Micro SD card (support upto 32GB),no Data,no Data,3000 mAh,no Data,no Data,No,no Data,Yes,Yes,no Data,No,No,no Data,No,No,https://images.priceoye.pk/gfive-pro-max-pakistan-priceoye-5a90a-500x500.webp,Gfive,70,1059.551884,2771.16,70
Gfive Fire,"3,199","Black,Gray,Dark Blue",STANDARD,5,2 Ratings ,2.4 Inches,Standard,3000 mAh,0.08 MP,7/7/2023,Dual SIM + dual stand-by,no Data,no Data,Proprietary OS,2.4 Inches,320 x 240,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/gfive-fire-pakistan-priceoye-w465u-500x500.webp,Gfive,70,1027.619076,2687.16,70
Qmobile Music Ka Sultan Pro,"3,999","Black Blue,Black Red",STANDARD,5,2 Ratings ,2.4 Inches,Standard,3000 mAh,Smart Camera,2/6/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,3000 mAh battery with super battery mode,no Data,no Data,no Data,no Data,Yes,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/qmobile-music-ka-sultan-pro-pakistan-priceoye-2ac06-500x500.webp,Qmobile,70,1282.758461,3359.16,70
Infinix Note 30 Pro,"45,999","Magic Black,Variable Gold",256GB - 8GB RAM,5,187 Ratings ,6.67 inches,8 GB,5000 mAh,108 MP + 2 MP + 2 MP,5/22/2023,"Dual SIM (Nano-SIM, dual stand-by)",162.7 x 76 x 8.2 mm,203 g,"Android 13, XOS 13",6.67 inches,1080 x 2400 pixels,"AMOLED, 1B colors, 120Hz, 900 nits (peak)",no Data,256 GB,microSDXC (dedicated slot),Mediatek MT8781 Helio G99,Mali-G57 MC2,"Li-Po 5000 mAh, non-removable",32 MP,Yes,1080p@30fps,Yes,"1440p@30fps, 1080p@30fps",Yes,Yes,Yes,No,Yes,Yes,Yes (market/region dependent),https://images.priceoye.pk/infinix-note-30-pro-pakistan-priceoye-k8gda-500x500.webp,Infinix,85,9040.59923,42089.085,80
Calme Hero 4G,"9,599","Black,Blue Black,White Black,Light Blue Black,Light Green Black",16GB - 2GB RAM,5,49 Ratings ,2.8 inches,2 GB,3800 mAh,Dual Camera,8/26/2023,Dual 4G Sim,no Data,no Data,Proprietary OS,2.8 inches,no Data,Touch Screen,no Data,16 GB,Yes,no Data,no Data,3800mAh,Yes,no Data,Yes,LED Torch Light,Yes,Yes,Yes,Yes,No,FM Radio,Yes,No,https://images.priceoye.pk/calme-hero-4g-pakistan-priceoye-jvgvc-500x500.webp,Calme,70,3048.05723,8063.16,70
Infinix Hot 30 Play,"27,049","Mirage Black,Bora Purple,Blade White","64GB - 4GB RAM,128GB - 8GB RAM",5,126 Ratings ,6.82 inches,4 GB,6000 mAh,16 MP + QVGA,5/22/2023,"Dual SIM (Nano-SIM, dual stand-by)",170.6 x 77.5 x 8.6 mm,205 g,"Android 13, XOS 12.6",6.82 inches,720 x 1640 pixels,"IPS LCD, 90Hz, 500 nits (peak)",no Data,64 GB,microSDXC (dedicated slot),"Octa-core CPU, Up To 2.3GHz, 12nm",IMG PowerVR GE8320,"Li-Po 6000 mAh, non-removable",8 MP,Yes,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,Yes,https://images.priceoye.pk/infinix-hot-30-play-nfc-pakistan-priceoye-cqdgr-500x500.webp,Infinix,85,5611.902846,24749.835,80
QMobile Gabbar,"3,799","Blue Black,Purple Black Yellow,Blue Yellow,Black Red",STANDARD,5,2 Ratings ,2.4 Inches,Standard,3000 mAh,Smart Camera,7/20/2001,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh battery with super battery mode,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/qmobile-gabbar-pakistan-priceoye-vazy0-500x500.webp,QMobile,70,1219.042846,2355.38,40
Apple iPhone 14,"364,999","Starlight,Midnight,Purple,Blue,Red","128GB,256GB,512GB",5, 1 Ratings ,6.1 inches,6 GB,3279 mAh,12 MP + 12 MP,9/7/2022,Dual SIM (Nano-SIM and eSIM),146.7 x 71.5 x 7.8 mm,172 g,iOS 16,6.1 inches,1170 x 2532 pixels,"Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)",Ceramic Shield glass,128/256/512 GB,No,Apple A15 Bionic (5 nm),Apple GPU (5-core graphics),"Li-Ion 3279 mAh, non-removable (12.68 Wh)",12 MP + SL 3D,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec.",Yes,Yes,Yes,Yes,No,Yes,Yes,https://images.priceoye.pk/apple-iphone-14-pakistan-priceoye-4q8o2-500x500.webp,Apple,95,54749.85,354961.5275,90
Samsung Galaxy S21 FE,"144,999","Graphite,White,Olive,Lavender","128GB - 8GB RAM,256GB - 8GB RAM",5,97 Ratings ,6.4 Inches,6/8 GB,4500 mAh,12 MP + 12 MP + 08 MP,1/7/2021,"Hybrid Dual SIM, Dual Standby, (Nano-SIM)",155.7 x 74.5 x 7.9 mm,177 g,Android 12 OS,6.4 Inches,2340 x 1080 Pixels,Dynamic AMOLED 2X,Corning Gorilla Glass,128/256 GB,No,Exynos 2100 (5 nm),Mali-G78 MP14,4500 mAh,32 MP,no Data,Yes,Yes,UHD 4K (3840 x 2160) @60fps,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://images.priceoye.pk/samsung-galaxy-s21-fe-pakistan-priceoye-8x9wk-500x500.webp,Samsung,90,20216.29038,138474.045,90
Apple iPhone 14 Pro Max,"499,999","Space Black,Deep Purple,Gold,Silver","1TB,128GB,256GB,512GB",5,6 Ratings ,6.7 inches,6 GB,4323 mAh,48 MP + 12 MP + 12 MP,9/29/2022,Nano-SIM and eSIM,160.7 x 77.6 x 7.9 mm,240 g,iOS 16,6.7 inches,1290 x 2796 pixels,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",Ceramic Shield glass,128/256/512/1TB,No,Apple A16 Bionic,Apple GPU (5-core graphics),Li-Ion 4323 mAh,12 MP,No,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS",Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps).",Yes,Yes,Yes,Yes,No,Yes,Yes,https://images.priceoye.pk/apple-iphone-14-pro-max-pakistan-priceoye-lwhww-500x500.webp,Apple,95,74999.85,486249.0275,90
Samsung Galaxy A04e,"20,499","Black,Copper,Light Blue","32GB - 3GB RAM,64GB - 3GB RAM",5,62 Ratings ,6.5 Inches,3 GB,5000 mAh,13 MP + 2 MP,5/30/2023,"Dual Sim, Dual Standby (Nano-SIM)",164.2 x 75.9 x 9.1 mm,188 g,"Android 12, One UI Core 4.1",6.5 Inches,"720 x 1600 pixels,",PLS LCD,no Data,32/64 GB,microSDXC (dedicated slot),Mediatek MT6765 Helio P35 (12nm),PowerVR GE8320,"Li-Po 5000 mAh, non-removable",5 MP,No,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/samsung-galaxy-a04e-pakistan-priceoye-2ptbs-500x500.webp,Samsung,90,4330.425576,19986.525,90
Honor X9a,"122,499","Titanium Silver,Emerald Green,Midnight Black",256GB - 8GB RAM,5, 1 Ratings ,6.67 inches,8GB,5100 mAh,64 MP + 5MP + 2MP,12/19/2023,"Dual SIM (Nano-SIM, dual stand-by)",161.6 x 73.9 x 7.9 mm (6.36 x 2.91 x 0.31 in),175 g (6.17 oz),"Android 12, upgradable to Android 13, MagicOS 7",6.67 inches,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","AMOLED, 1B colors, 120Hz, 800 nits (HBM)",no Data,256GB,No,Octa-core,Adreno 619,"Li-Po 5100 mAh, non-removable",16 MP,no Data,1080p@30fps,LED flash,1080p@30fps,Yes,Yes,Yes,no Data,No,Yes,Yes,https://images.priceoye.pk/honor-x9a-pakistan-priceoye-s5arz-500x500.webp,Honor,70,30919.28942,102899.16,70
Jazz Digit Shine 4G,"7,599","Navy Blue,Denim,Black",4GB - 512MB RAM,5,5 Ratings ,2.4 inches,512 MB,2000 mAh,Smart Camera,1/12/2023,Dual Sim 4G,no Data,no Data,KaiOS,2.4 inches,no Data,no Data,no Data,4 GB,Memory Card (upto 32GB),no Data,no Data,2000 mAh,Smart Camera,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/jazz-digit-shine-4g-pakistan-priceoye-0mzas-500x500.webp,Jazz,70,2421.74723,6383.16,70
Calme i14 Max,"4,099","Gold,Rose Gold,Blue,White,Black Grey,Purple",STANDARD,5,2 Ratings ,2.4 Inches,Standard,2000 mAh,Digital Camera,9/8/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Expandable Memory up to 32gb,no Data,no Data,2000 mAh,No,no Data,No,Yes,Yes,Yes,no Data,No,No,Yes,No,No,https://images.priceoye.pk/calme-i14-max-pakistan-priceoye-cc3aw-500x500.webp,Calme,70,1314.598961,3443.16,70
Digit E4 Pro 4G,"9,699","Black,Blue",8GB - 1GB RAM,5,7 Ratings ,2.8 Inches,1 GB,2500 mAh,2 MP,8/15/2023,Dual Sim,no Data,no Data,digiOS 8,2.8 Inches,no Data,Touch Screen,no Data,8 GB,Yes,1.3GHz Dual Core,MediaTek 6739,2500 mAh,0.3 MP,no Data,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/digit-4g-e4-pro-pakistan-priceoye-e4m5z-500x500.webp,Digit,70,3079.251576,8147.16,70
Gfive G4 Play,"3,199","Black,White",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3000 mAh,0.08,7/7/2023,Dual SIM + dual stand-by,no Data,no Data,Proprietary OS,2.4 Inches,320 x 240,QVGA,No,Standard,Yes,no Data,no Data,3000 mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/gfive-g4-play-pakistan-priceoye-9uqeb-500x500.webp,Gfive,70,1027.619076,2687.16,70
Tecno Spark Go 2023,"23,799","Endless Black,Nebula Purple,Uyuni Blue",64GB - 4GB RAM,5,65 Ratings ,6.6 inches,4 GB + (3 GB Extended RAM),5000 mAh,13 MP,1/19/2023,"Dual SIM (Nano-SIM, dual stand-by)",163.9 x 75.5 x 8.9 mm,no Data,"Android 12, HIOS 12",6.6 inches,720 x 1600 pixels,IPS LCD,no Data,64 GB,microSDXC (dedicated slot),Mediatek MT6761 Helio A22,PowerVR GE8320,"Li-Po 5000 mAh, non-removable",5 MP,No,Yes,Yes,1080p@30fps,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/tecno-spark-go-2023-pakistan-priceoye-dqhc7-500x500.webp,Tecno,70,7362.142846,19991.16,70
Infinix Zero 30 5G,"103,999","Fantasy Purple,Golden Hour,Rome Green",256GB - 12GB RAM,5,17 Ratings ,6.78 Inches,12 GB,5000 mAh,108 MP + 13 MP + 2 MP,9/4/2023,"Dual SIM (Nano-SIM, dual stand-by)",164.5 x 75 x 7.9 mm,185 g,"Android 13, XOS 13",6.78 Inches,1080 x 2400 Pixels,AMOLED,Corning Gorilla Glass 5,256 GB,no Data,Mediatek Dimensity 8020 (6 nm) Octa-core,Mali-G77 MC9,5000 mAh,50 MP,Yes,"4K@30/60fps, 1080p@30fps",Yes,"4K@30/60fps, 1080p@30/60fps",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://images.priceoye.pk/infinix-zero-30-5g-pakistan-priceoye-4nz46-500x500.webp,Infinix,85,16959.89692,95159.085,80
Nokia 105 Plus,"5,499",Charcoal,STANDARD,5,60 Ratings ,1.77 Inches,4MB,1000 mAh,no Data,1/28/2023,Dual Sim,115.2 x 49.9 x 14.3 mm,72 g,S30+,1.77 Inches,QQVGA,no Data,no Data,4MB,Yes,MT6261D,no Data,"1000 mAh, Removable",no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/nokia-105-plus-pakistan-priceoye-tflhj-500x500.webp,Nokia,70,1759.154423,4619.16,70
